OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106010042,JOHN GEORGE PSYCHIATRIC HOSPITAL,140000046,Distinct Part Facility,2060 FAIRMONT DRIVE,SAN LEANDRO,94578,01,Alameda,None,80,Open,2022-11-01,Hospital,General Acute Care Hospital,37.71055270,-122.12025630
106010735,ALAMEDA HOSPITAL,140000002,Parent Facility,2070 CLINTON AVE,ALAMEDA,94501,01,Alameda,Emergency - Basic,101,Open,1946-01-01,Hospital,General Acute Care Hospital,37.76267980,-122.25410620
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,140000004,Parent Facility,2450 ASHBY AVENUE,BERKELEY,94705,01,Alameda,Emergency - Basic,339,Open,1946-01-02,Hospital,General Acute Care Hospital,37.85562790,-122.25750140
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,140000015,Parent Facility,747 52ND STREET,OAKLAND,94609,01,Alameda,Emergency - Basic,163,Open,1946-01-01,Hospital,General Acute Care Hospital,37.83693790,-122.26723060
106010811,FAIRMONT HOSPITAL,140000046,Consolidated Facility,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,01,Alameda,None,109,Open,1953-07-01,Hospital,General Acute Care Hospital,37.70816790,-122.11982280
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,140000004,Consolidated Facility,2001 DWIGHT WAY,BERKELEY,94704,01,Alameda,None,64,Open,1946-01-01,Hospital,General Acute Care Hospital,37.86407240,-122.26871190
106010846,HIGHLAND HOSPITAL,140000046,Parent Facility,1411 EAST 31ST STREET,OAKLAND,94602,01,Alameda,Emergency - Basic,169,Open,1953-07-01,Hospital,General Acute Care Hospital,37.79905960,-122.23250630
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,140000066,Parent Facility,2800 BENEDICT DRIVE,SAN LEANDRO,94577,01,Alameda,None,99,Open,1962-11-13,Hospital,General Acute Care Hospital,37.71605780,-122.13047090
106010937,ALTA BATES SUMMIT MEDICAL CENTER,140000284,Parent Facility,350 HAWTHORNE AVENUE,OAKLAND,94609,01,Alameda,Emergency - Basic,309,Open,1946-01-01,Hospital,General Acute Care Hospital,37.82117500,-122.26304000
106010967,ST. ROSE HOSPITAL,140000107,Parent Facility,27200 CALAROGA AVENUE,HAYWARD,94545,01,Alameda,Emergency - Basic,126,Open,1962-10-10,Hospital,General Acute Care Hospital,37.63307250,-122.08850760
106010983,STANFORD HEALTH CARE TRI-VALLEY,140000114,Consolidated Facility,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,01,Alameda,None,75,Open,1969-10-19,Hospital,General Acute Care Hospital,37.67735300,-121.78195860
106010987,WASHINGTON HOSPITAL - FREMONT,140000116,Parent Facility,2000 MOWRY AVENUE,FREMONT,94538,01,Alameda,Emergency - Basic,415,Open,1958-11-19,Hospital,General Acute Care Hospital,37.55727360,-121.97795350
106013619,SAN LEANDRO HOSPITAL,140000046,Consolidated Facility,13855 EAST 14TH STREET,SAN LEANDRO,94578,01,Alameda,Emergency - Basic,91,Open,2019-08-19,Hospital,General Acute Care Hospital,37.71226600,-122.14355780
106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,140000284,Consolidated Facility,3100 SUMMIT STREET,OAKLAND,94609,01,Alameda,None,,Open,1946-01-01,Hospital,General Acute Care Hospital,37.82015070,-122.26394660
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,140000232,Parent Facility,3012 SUMMIT STREET,OAKLAND,94609,01,Alameda,Not Applicable,24,Open,1983-10-12,Hospital,Chemical Dep. Recovery Hospital,37.81948410,-122.26416520
106014034,FREMONT HOSPITAL,140000347,Parent Facility,39001 SUNDALE DRIVE,FREMONT,94538,01,Alameda,Not Applicable,148,Open,1990-02-16,Hospital,Acute Psychiatric Hospital,37.54661890,-121.97966200
106014050,STANFORD HEALTH CARE TRI-VALLEY,140000114,Parent Facility,5555 WEST LAS POSITAS BLVD.,PLEASANTON,94588,01,Alameda,Emergency - Basic,167,Open,1991-12-09,Hospital,General Acute Care Hospital,37.69339460,-121.88034170
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,140000053,Parent Facility,39400 PASEO PADRE PARKWAY,FREMONT,94538,01,Alameda,Emergency - Basic,100,Open,1996-12-01,Hospital,General Acute Care Hospital,37.55216170,-121.97548910
106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,M02016036,Parent Facility,2633 EAST 27TH STREET,OAKLAND,94601,01,Alameda,Not Applicable,26,Open,2005-08-16,Hospital,Psychiatric Health Facility,37.79057590,-122.22208990
106014226,TELECARE WILLOW ROCK CENTER,M02016039,Parent Facility,2050 FAIRMONT DRIVE,SAN LEANDRO,94578,01,Alameda,Not Applicable,16,Open,2007-07-02,Hospital,Psychiatric Health Facility,37.70931900,-122.11849170
106014233,EDEN MEDICAL CENTER,140000030,Parent Facility,20103 LAKE CHABOT RD,CASTRO VALLEY,94546,01,Alameda,Emergency - Basic,130,Open,2012-11-01,Hospital,General Acute Care Hospital,37.69825720,-122.09014550
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,140000052,Parent Facility,275 W. MACARTHUR BLVD.,OAKLAND,94611,01,Alameda,Emergency - Basic,315,Open,2014-07-01,Hospital,General Acute Care Hospital,37.82374320,-122.25823700
