Year,County,Average_age,Medical,Medicare,Cancer,Diabetes,Kidney,Inpatient
2019,Alameda,39.19,26.96,16.95,2.39,4.02,7.98,63.16
2019,Alpine,44.8,38.04,26.67,0.0,0.0,0.0,17.55
2019,Amador,47.88,25.13,33.47,4.62,5.87,9.6,100.98
2019,Butte,41.05,42.68,23.91,3.34,4.4,8.79,148.32
2019,Calaveras,46.89,31.15,32.05,4.58,4.08,9.15,99.98
2019,Colusa,36.26,48.75,17.34,1.87,3.63,9.26,76.46
2019,Contra Costa,39.99,25.72,20.0,2.78,4.25,8.0,67.63
2019,Del Norte,41.14,46.64,23.59,2.63,3.89,9.44,102.82
2019,El Dorado,44.01,23.25,26.02,3.74,4.03,6.88,79.35
2019,Fresno,35.02,53.29,15.44,2.07,4.08,9.58,76.81
2019,Glenn,38.35,49.4,21.57,2.81,4.48,10.76,112.48
2019,Humboldt,40.63,46.24,22.07,2.74,3.43,7.23,87.04
2019,Imperial,36.88,52.57,19.18,1.96,4.64,11.8,80.31
2019,Inyo,42.47,31.07,22.36,2.93,3.31,8.03,92.6
2019,Kern,33.97,52.92,14.58,1.86,3.53,9.01,53.46
2019,Kings,34.07,51.64,15.17,1.88,3.58,9.76,75.03
2019,Lake,41.76,49.71,26.6,3.15,4.41,9.23,116.05
2019,Lassen,40.83,31.66,20.29,2.58,3.06,8.68,93.59
2019,Los Angeles,38.53,42.28,18.28,2.24,4.01,8.6,74.82
2019,Madera,35.55,52.69,17.05,2.15,4.27,9.28,66.81
2019,Marin,44.28,21.7,25.14,3.75,3.21,4.98,60.16
2019,Mariposa,46.65,32.59,30.49,3.52,4.03,7.74,97.92
2019,Mendocino,41.77,46.38,25.6,2.99,3.03,7.57,91.44
2019,Merced,33.92,55.24,15.14,1.75,3.26,9.32,86.5
2019,Modoc,45.61,42.8,33.57,2.99,4.18,9.79,120.5
2019,Mono,39.44,42.31,16.13,2.18,1.34,3.18,63.53
2019,Monterey,36.17,51.38,16.92,2.21,2.69,7.72,78.33
2019,Napa,41.78,24.71,21.81,3.17,4.15,8.34,69.88
2019,Nevada,46.58,29.33,31.58,4.36,4.14,5.78,84.21
2019,Orange,39.91,31.99,21.13,2.65,3.91,7.48,64.93
2019,Placer,42.5,17.86,24.15,3.59,4.39,6.84,64.05
2019,Plumas,46.44,40.89,34.68,3.59,4.24,7.85,105.36
2019,Riverside,37.2,42.33,20.14,2.23,3.92,7.97,72.98
2019,Sacramento,38.02,34.24,17.54,2.48,4.07,8.16,63.88
2019,San Benito,36.96,36.58,17.71,2.26,2.68,8.66,71.15
2019,San Bernardino,35.83,45.4,17.65,1.83,3.8,8.2,75.3
2019,San Diego,39.86,31.99,22.14,2.55,3.75,7.44,70.33
2019,San Francisco,42.4,23.51,20.5,2.65,4.05,7.65,67.74
2019,San Joaquin,35.77,42.01,15.62,2.09,4.11,9.21,77.43
2019,San Luis Obispo,43.76,27.58,25.23,3.68,3.51,6.76,71.4
2019,San Mateo,41.76,20.3,20.62,3.0,4.1,8.01,53.73
2019,Santa Barbara,38.76,43.32,22.44,2.87,3.45,6.88,73.03
2019,Santa Clara,39.86,24.94,17.84,2.37,3.54,7.92,58.74
2019,Santa Cruz,40.68,34.75,22.51,2.97,3.03,6.51,68.16
2019,Shasta,43.02,39.5,28.17,3.28,3.81,8.83,113.03
2019,Sierra,48.36,28.9,37.33,3.84,3.75,5.81,85.33
2019,Siskiyou,44.8,41.9,30.58,3.68,3.36,8.22,87.15
2019,Solano,39.4,28.16,18.98,2.66,5.0,10.05,70.16
2019,Sonoma,41.98,26.96,22.48,3.08,3.6,6.71,68.77
2019,Stanislaus,36.3,46.29,17.03,1.98,3.75,8.7,71.82
2019,Sutter,38.19,47.32,19.49,2.6,4.44,10.61,91.62
2019,Tehama,40.0,50.67,25.38,2.88,4.09,9.12,107.39
2019,Trinity,46.44,41.94,30.76,3.31,3.18,7.41,105.8
2019,Tulare,33.31,56.47,14.36,1.81,3.29,9.0,68.89
2019,Tuolumne,47.18,28.52,32.55,4.49,3.94,9.09,101.75
2019,Ventura,40.18,32.85,21.15,3.07,4.2,8.19,83.57
2019,Yolo,38.12,30.46,18.46,2.33,3.51,7.29,59.21
2019,Yuba,36.3,50.16,18.55,2.23,4.24,9.26,104.27
2020,Alameda,39.74,26.06,17.45,2.37,4.09,7.95,54.97
2020,Alpine,46.34,34.92,29.23,0.0,0.0,1.85,37.74
2020,Amador,48.19,25.17,34.09,4.48,6.04,9.43,90.47
2020,Butte,41.31,40.57,24.09,3.31,4.34,8.87,129.43
2020,Calaveras,47.19,31.36,32.78,4.49,4.26,8.87,84.44
2020,Colusa,36.6,48.22,17.84,2.09,3.46,9.38,74.18
2020,Contra Costa,40.41,25.54,20.36,2.74,4.27,7.88,58.83
2020,Del Norte,41.4,46.07,24.05,2.47,4.01,9.34,87.66
2020,El Dorado,44.51,23.04,27.37,3.71,4.11,6.94,68.32
2020,Fresno,35.42,52.48,15.88,2.06,4.13,9.62,70.32
2020,Glenn,38.56,47.03,21.55,2.79,4.84,10.95,97.64
2020,Humboldt,41.11,45.93,22.65,2.72,3.51,7.37,69.97
2020,Imperial,37.56,51.12,19.76,2.01,4.95,11.95,74.51
2020,Inyo,42.63,31.12,23.34,2.73,3.37,7.73,75.39
2020,Kern,34.34,52.58,15.11,1.85,3.64,9.15,48.5
2020,Kings,34.59,51.6,15.61,1.88,3.88,10.09,69.04
2020,Lake,42.05,49.78,27.34,3.1,4.67,9.43,99.25
2020,Lassen,41.16,31.98,20.99,2.58,3.03,9.03,81.53
2020,Los Angeles,39.17,40.91,19.2,2.27,4.19,8.84,65.97
2020,Madera,35.78,52.61,17.31,2.09,4.35,9.28,58.07
2020,Marin,44.71,21.72,25.68,3.63,3.16,4.83,51.81
2020,Mariposa,46.95,34.44,31.61,3.54,4.59,7.99,86.62
2020,Mendocino,42.46,45.39,27.09,3.0,3.15,7.71,85.24
2020,Merced,34.32,54.79,15.55,1.74,3.44,9.5,77.17
2020,Modoc,45.98,43.94,34.62,2.61,4.35,9.97,92.08
2020,Mono,40.02,39.95,17.44,2.0,1.37,3.06,55.98
2020,Monterey,36.7,49.66,17.17,2.21,2.68,7.84,66.56
2020,Napa,42.18,25.71,22.2,3.2,4.07,8.09,58.38
2020,Nevada,46.91,28.46,32.17,4.17,4.21,5.87,74.12
2020,Orange,40.49,31.44,21.62,2.66,4.01,7.58,58.39
2020,Placer,42.87,18.04,25.12,3.5,4.5,6.9,56.19
2020,Plumas,47.05,39.17,35.17,3.49,4.4,7.6,84.82
2020,Riverside,37.67,41.77,21.21,2.21,3.99,8.02,64.84
2020,Sacramento,38.39,33.87,18.57,2.39,4.12,8.2,58.03
2020,San Benito,37.51,35.88,18.45,2.38,2.79,9.04,57.54
2020,San Bernardino,36.29,44.34,18.76,1.83,3.89,8.3,66.12
2020,San Diego,40.42,31.78,23.38,2.56,3.82,7.54,62.41
2020,San Francisco,43.04,23.62,21.29,2.63,4.12,7.71,58.06
2020,San Joaquin,36.2,41.15,16.12,2.06,4.17,9.19,66.93
2020,San Luis Obispo,44.23,27.55,25.96,3.7,3.68,6.77,60.36
2020,San Mateo,42.36,20.02,21.16,2.96,4.1,7.92,45.29
2020,Santa Barbara,39.25,43.2,23.09,3.01,3.65,7.0,66.02
2020,Santa Clara,40.49,24.51,18.38,2.37,3.62,7.92,51.12
2020,Santa Cruz,41.31,34.51,23.26,2.98,3.07,6.61,57.33
2020,Shasta,43.36,38.34,28.69,3.35,4.34,8.89,93.15
2020,Sierra,49.27,28.91,38.42,3.71,3.56,5.02,82.48
2020,Siskiyou,45.32,41.2,31.5,3.72,3.67,8.26,72.98
2020,Solano,39.79,28.04,19.55,2.66,4.96,9.85,60.83
2020,Sonoma,42.45,26.52,23.19,3.09,3.72,6.74,60.84
2020,Stanislaus,36.67,45.33,17.54,1.99,3.85,8.82,63.36
2020,Sutter,38.73,47.75,20.76,2.7,4.71,10.94,85.78
2020,Tehama,40.32,49.78,25.65,2.89,4.25,9.32,90.23
2020,Trinity,46.09,43.04,30.14,2.76,3.25,7.08,83.39
2020,Tulare,34.14,57.35,15.07,1.89,3.59,9.54,59.9
2020,Tuolumne,48.14,28.95,34.89,4.53,4.39,9.46,92.72
2020,Ventura,40.75,32.42,21.89,3.11,4.31,8.28,70.74
2020,Yolo,38.74,29.56,22.34,2.33,3.55,7.35,52.13
2020,Yuba,36.68,50.08,19.42,2.22,4.3,9.33,92.93
2021,Alameda,39.98,26.36,17.47,2.35,4.09,7.99,57.51
2021,Alpine,46.68,34.94,30.38,0.0,0.0,1.96,53.62
2021,Amador,48.07,26.14,33.67,4.38,6.24,9.45,89.5
2021,Butte,41.34,40.95,23.81,3.33,4.31,8.95,126.61
2021,Calaveras,47.11,32.08,32.37,4.44,4.35,8.82,77.49
2021,Colusa,36.9,48.37,17.8,2.01,3.49,9.85,72.37
2021,Contra Costa,40.62,26.17,20.32,2.71,4.23,7.9,61.04
2021,Del Norte,41.63,46.11,24.32,2.41,4.12,9.71,85.9
2021,El Dorado,44.68,23.4,27.27,3.65,4.13,6.94,68.91
2021,Fresno,35.57,52.76,15.66,1.99,4.11,9.65,69.49
2021,Glenn,38.59,47.71,21.11,2.6,5.04,10.96,99.47
2021,Humboldt,41.37,46.03,22.65,2.7,3.55,7.38,73.26
2021,Imperial,37.66,52.01,19.49,1.94,4.74,11.62,67.2
2021,Inyo,42.49,30.74,22.68,2.73,3.0,7.23,66.48
2021,Kern,34.53,53.48,14.83,1.79,3.55,9.19,59.1
2021,Kings,34.87,52.49,15.5,1.84,3.99,10.26,66.86
2021,Lake,42.03,50.46,27.03,3.03,4.87,9.55,100.71
2021,Lassen,41.35,32.48,20.78,2.62,3.51,8.77,86.56
2021,Los Angeles,39.53,40.96,18.64,2.25,4.17,8.87,66.97
2021,Madera,35.92,53.25,17.12,2.02,4.34,9.15,57.52
2021,Marin,45.01,22.37,25.85,3.7,3.25,4.89,55.74
2021,Mariposa,46.73,35.18,30.71,3.53,4.53,7.84,81.82
2021,Mendocino,42.67,46.64,27.41,2.99,3.2,7.89,88.17
2021,Merced,34.47,55.65,15.45,1.76,3.47,9.44,77.04
2021,Modoc,45.74,44.27,33.78,2.96,5.09,9.89,89.71
2021,Mono,40.47,39.51,17.81,2.01,1.55,3.41,49.93
2021,Monterey,36.97,51.68,16.75,2.15,2.64,7.81,67.19
2021,Napa,42.42,26.22,22.24,3.16,4.1,8.04,59.97
2021,Nevada,46.81,28.94,31.7,3.98,4.17,5.82,73.62
2021,Orange,40.77,32.01,20.99,2.63,3.97,7.6,59.17
2021,Placer,42.93,18.7,24.97,3.44,4.57,6.97,60.26
2021,Plumas,47.74,38.25,35.99,3.52,4.58,7.94,85.99
2021,Riverside,37.85,42.22,20.62,2.13,3.85,7.97,64.61
2021,Sacramento,38.49,34.49,18.32,2.35,4.1,8.22,59.82
2021,San Benito,37.75,36.58,18.68,2.39,2.85,9.33,67.63
2021,San Bernardino,36.49,44.53,18.11,1.77,3.73,8.2,65.47
2021,San Diego,40.6,32.39,23.26,2.51,3.78,7.54,65.05
2021,San Francisco,43.46,24.24,21.58,2.64,4.15,7.82,59.21
2021,San Joaquin,36.36,41.35,15.97,2.03,4.21,9.26,64.91
2021,San Luis Obispo,44.4,28.08,26.13,3.67,3.7,6.77,61.28
2021,San Mateo,42.68,20.5,21.28,2.95,4.08,7.94,47.33
2021,Santa Barbara,39.21,42.95,22.27,2.96,3.62,6.92,68.23
2021,Santa Clara,40.76,24.98,18.37,2.36,3.63,7.96,54.84
2021,Santa Cruz,41.62,35.17,23.13,3.01,3.09,6.74,62.27
2021,Shasta,43.37,38.78,28.36,3.33,4.61,8.88,94.93
2021,Sierra,49.15,28.98,37.73,3.18,3.62,5.08,67.94
2021,Siskiyou,45.29,41.57,31.09,3.68,3.98,8.29,74.84
2021,Solano,39.99,28.64,19.68,2.64,4.86,9.68,60.53
2021,Sonoma,42.67,26.95,23.32,3.18,3.78,6.72,64.21
2021,Stanislaus,36.82,45.67,17.45,1.97,3.86,8.84,65.66
2021,Sutter,38.92,48.08,20.64,2.53,4.64,11.21,85.91
2021,Tehama,40.25,50.74,25.16,2.97,4.44,9.44,90.43
2021,Trinity,45.9,44.5,29.61,2.16,3.04,6.9,84.06
2021,Tulare,34.38,57.64,14.96,1.85,3.64,9.69,59.87
2021,Tuolumne,47.99,29.87,34.63,4.54,4.59,9.48,92.54
2021,Ventura,40.98,32.58,22.0,3.1,4.24,8.28,68.39
2021,Yolo,38.92,29.93,22.16,2.35,3.58,7.38,52.09
2021,Yuba,36.75,50.82,19.1,2.16,4.25,9.47,95.22
